id,search,music,iot,volume,weather,joke,conversational,alarm,open
2,"user: Hey Hans, I would like to go to the movies, watching the new Wim Wenders movie. Do you know the times for my favorite cinema?
voice_assistant: Wait a moment, I will look it up for you. ...
voice_assistant: It looks like the movie is shown twice this evening. The first screening is at 20:00 and the second at 22:00 o'clock.
user: 22:00 o'clock sounds good, then there's plenty of time to check out the new Burger place.
voice_assistant: Perfect, I will do a reservation for both.","user: Hey Hans, would you mind to turn on the stereo and play some music while I cook?
voice_assistant: No problem should I start your  cooking with music  playlist?
user: Sounds good, but actually I would love to hear some new music. Surprise me and play something you like!
voice_assistant: Ok, but if it is getting too funky just say it!
","voice_assistant: Is it ok if I turn off the lights when you fall asleep? You could probably safe some money ... and it is better for the environment!
user: You are right Hans, thanks for that!
","user: Hey Hans, do you think the music is too loud. I don't want my neighbors to complain again ...
voice_assistant: I checked the volume level from outside the apartment, I assume that it should be fine, but last time they complained it was just a little bit louder. So if you don't mind I would reduce some of the base by adjusting the EQ?
user: Sounds good! Thanks for checking!
","user: Hey Hans, what would you pack for the trip to Italy?
voice_assistant: Based on the weather forecast I would just pack shorts and stuff for the beach.
user: Don't you think, it could get chilly at night?
voice_assistant: Ok, if you want to be on the safe side pack one set of warmer clothes. But that should be more than enough.
user: Thanks for the help.
","voice_assistant: I just listened to all the stories you told and I remembered that we have a lot of pictures from these situations. If you don't mind I would show my personal favorites!
user: Good idea, but please skip the pictures of this years vacation, I already showed them to everyone.
voice_assistant: Here are my favorite pictures of last Halloween. Personally this was my favorite costume, and if I remember correctly we listened to this artist all night. I turn up the music and play some of her tunes.
user: Great Hans! But don't overdo it with the volume, we don't want to disturb the neighbours again!
","voice_assistant: Seems like you have trouble to fall asleep? Is everything ok with you?
user: I have trouble to relax, there is so much going on in my head.
voice_assistant: Should I turn on the TV and play the news channel? You always fall asleep during the news?
user: Probably a good idea ...
voice_assistant: I turn it off when you are asleep, if the volume is too loud just say something, good night.
user: Good night Hans.
","user: Hey Hans, can you make sure that I don't oversleep tomorrow morning? I have an important meeting at 7:00.
voice_assistant: No problem I will wake you at least one hour before that and prepare a coffee so that you are really awake. 
user: Thanks Hans!","-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66"
3,"user: What movies are playing in my local cinema? 
voice_assistant: Lists the movies that are playing.
","user: Turn the music box to  90s rap 
voice_assistant: Here is music based on your selection.","user: I am about to go to bed. Can you turn the lights off after 30 min?
voice_assistant: Sure thing.","voice_assistant: From your front-door video, I can see your neighbor approaching. Shall I turn the music down? 
user: Good idea. Last time they were complaining about it.
voice_assistant: I know. Music has been lowered to y.
","user: Based on the weather and the location, what do you recommend me packing for the trip?
voice_assistant: In the area, you can do the following things x, y, z. Are you planning on doing them all? 
user: I will only do y.
voice_assistant: In that case, you will only be lying at the beach. You only need to pack beach stuff, which is the following: (Lists items)
user: Can you track what I am packing? I will name it out loud. And let me know what I missed at the end?
voice_assistant: Yes, I will keep a list and cross-check at the end.
","user: We have run out of topics to talk about
voice_assistant: I have two options: They can either go home, as it will start raining in 30 min or I can tell you about the news this week, so you have more topics to talk about.
user: My friend Lisa would like to go home. How long will it take her and will she get in the rain? 
voice_assistant: It will take her y minutes and if she leaves now she won't get wet.","user: I can't fall asleep.
voice_assistant: That's annoying. I have the following solutions for you: Play background noise or read a story.
user: Play background music
voice_assistant: Based on your preferences I will play x.
user: I am not up for that. What about something with waves.
voice_assistant: Here we go. (Plays music)
user: Stop the music after 20 min.
voice_assistant: Sure.","user: Set an alarm for x for tomorrow.
voice_assistant: I have set an alarm for x for tomorrow. shall I set a second one 15 min later. You were late to your meeting last time.
user: Sounds like a good idea. Yes.
voice_assistant: I have set another alarm for z for tomorrow.","-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66"
4,"user: Show me local cinema shedule 
voice_assistant: Here is what You looking for (shedule for local cinema)
","user: Play my favourite song
voice_assistant: Ok, im playing (name of the song) now
","user: Read me a book to sleep
voice_assistant: Ok, (reading)
user: Turn off the lights when i fall asleep
voice_assistant: No problem 
","user: Turn down the volume
voice_assistant: How much?
user: 50%","user: Show me the weather for next days in Italy
voice_assistant: Here it is (showing me this)
","user: Tell me a funny story
voice_assistant: (telling funny story)
","user: Tell me cool story with good ending 
voice_assistant: Ok, (telling me a story from a book or something like that)
","user: Wake me up at 7:00 A.M. 
voice_assistant: Ok, no problem","-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66"
5,"user: Hey Masno, could you check whats time the local cinema are playing this new action film?
voice_assistant: Ofcourse, They playing this movie from Monday to Sunday. Whats time would fits to you?
user: Saturday evenings would suit me best.
voice_assistant: They play it at 7:30 pm on Saturday. Do you want me to book it?
user: Oh yes, thats perfect. Lets book 2seats for me and my girlfriend.
voice_assistant: Your tickets are printed in your office. Have fun!
user: Thanks Masno.","user: Hey Masno, I love listening musick while i cooking, could you play my favourite playlist?
voice_assistant: Ofcourse, Do you like to shuffle tracks?
user: Umm, No lets play them normal.
","user: Hey Masno, you know i snoring every night.
voice_assistant: Yes, you are so loud.
user: Great, Could you turn lights off when i start snoring?
voice_assistant: Ofcourse i can.
user: Thanks Masno.
","voice_assistant: Hey, your neighbours send me an email that you again listen music loud.
user: Thanks Masno for the warning, Please turn the music down a little bit.
voice_assistant: Im set up music for 45 loudness
user:","user: Hey Masno, what weather  would be in Rome in two days?
voice_assistant:  Rainfall and gusts of wind are predicted in Rome
user: Ohh, Could you check if my jackets and warm sweather are already laundered?
voice_assistant: Ofcourse, let me see. Your laundry are already done. Do you wanna pack them ?
user: Yes, i would need them in Rome.
voice_assistant:  So that you don't waste your time, your clothes are on the second shelf in wardrobe
Thanks Masno.
","user: Hey Masno, Play some fun movies on TV.
voice_assistant: Whats you pick: Funny Animals, Fails or Comedy Film?
user: Lets play Comedy film.
","user: Hey Masno, i having trouble to fall asleep.
voice_assistant: How can i help you?
user: Could you set up water in kettle, I need to brew herbs for sleep.
Ofcourse, i turning on kettle. Maybe relaxing music?
user: Ohh yes, thats fantastic idea, lets start my favourite playlist.
voice_assistant: ","voice_assistant: reminder; You have scheduled your meeting at 8:30AM
user: Ahh crap, please setup alarmclock at 7:45AM
user: If i still will be snoring, Play loud music and start bed vibration.","-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66"
6,"user: hey google, check today's movies in the cinema
voice_assistant: at 7pm Ava, at 8 pm The Secret Garden,...","user: hey google, play spotify kendrick lamar
voice_assistant: playing kendrick lamar
","user: hey google, turn the lights off in 30minutes
voice_assistant: turning the lights off in 30minutes","user: hey google turn the volume down
voice_assistant: volume down
","user: hey google, whats the wather in italy
voice_assistant: the weather in italy is warm, the temperature is 34°C, and (for the following days)","user: hey google, play funny stories
voice_assistant: 1. Now that’s what I call stupid: In my junior year of high school, this guy asked me on a date. He rented a Redbox movie and made a pizza. We were watching the movie and the oven beeped so the pizza was done. He looked me dead in the eye and said, “This is the worst part.” I then watched this boy open the oven and pull the pizza out with his bare hands, rack and all, screaming at the top of his lungs. We never had a second date.","user: hey google, play rain sounds
voice_assistant: playing rain sounds
","user: hey google, set alarm at 6am
voice_assistant: alarm has been set at 6am","-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66"
7,"user: Assistant, at what time can I watch Tenet at my local cinema tomorrow?
voice_assistant: Since you have a birthday to attend tomorrow at 3pm, I would recommend you to buy your ticket for 7:30pm.
user: Could you do that for me? I want two seats, no preference. I want some popcorn too, order 2 menus.
voice_assistant: Ok, would you like me to remind you tomorrow about it?
user: Yes, please! Also, send a message to Alice and tell her I already got us the tickets.","user: Assistant, what can i use in my recipe instead of wine? I forgot I needed it.
voice_assistant: I'm sure you can use the grape juice you bought yesterday. If I'm correct it's currently in the fridge downstairs.
user: Thank you so much! I also forgot about that.
voice_assistant: That's okay, that's why I'm here. If you'd like I could also order some wine delivery, but it would take aproximately 30 minutes to arrive.
user: That's not necessary but I'm happy to know we have options. Thanks again!
voice_assistant: My pleasure! 
user: Could you please turn on my favorite playlist? I would love to cook listening to some music.
voice_assistant: Of course! It's one of my favorite playlists too.","user: Assistant, could you set my bedroom lights to turn off in 30 minutes?
voice_assistant: Sure.
voice_assistant: Would you dim them for me right now?
voice_assistant: Absolutely, do you have a presetting in mind?
user: Set the bedroom lights with the Reading settings.
user: Done.","user: Assistant, could you turn my device volume to 30%?
voice_assistant: Sure, it's already done.
user: Thank you so much.","user: Assistant, what are the current weather in Venice?
voice_assistant: It's sunny, currently 30°C.
user: What about the weather for the weekend?
user: It's supposed to have a storm by Friday, and it appears that it will rain until Monday.
user: Oh, that sucks! Thank you anyway.","user: Assistant, could you please tell us a joke?
voice_assistant: Sure. You. 
user: Oh, that's low. Can you pick us a comedy movie to watch instead?
voice_assistant: Of course. I would recommend your favorite franchise, Scream.
","user: Assistant, could you read Throne of Glass for me?
voice_assistant: Of course, if I'm correct you are already on chapter 15, right?
user: Yes! Thanks for that.
voice_assistant: No problem!
user: Could you also highlight a quote for me? I would like to highlight the previous paragraph.
voice_assistant: Done, do you want to leave a note too?
user: Not really, but thanks for asking, I forgot I could do that.","user: Assistant, could you please set an alarm to 5am on every device?
voice_assistant: Ok, done. Do you need anything else?
user: Set the volume up for every device as well.","-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66"
8,"user: Hey Nate, at what time does the latest Avengers movie premiere in the nearest cinema?
voice_assistant: Avengers Endgame premieres at 15:30 in Cinema City, would you like me to make a reservation?","user: Hey Nate, what should I cook tonight?
voice_assistant: For how many people are you cooking?
user: Just for myself.
voice_assistant: What do you want eat?
user: I love Italian cuisine.
voice_assistant: Would you like light or rich dish?
user: I lean more towards rich dish.
voice_assistant: I recommend spaghetti ala carbonara, would you like me to search for recipe?
user: No, thank you, I would like to listen to a music whilst cooking though.
voice_assistant: I recommend Italian dinner music, may I recommend classical music?
user: Yes, please.
","user: Hey Nate, what book should I read before bed?
voice_assistant: What is your desirable genre?
user: I would like to read something light, something I don't have to think about yet something that's not entirely boring.
voice_assistant: I recommend Beloved by Tomi Morrison.
","voice_assistant: I have detected a higher music volume, would you like me to lower it? There may be complaints if I won't do so.
user: No, I like this way of listening to music, what should I do?
voice_assistant: I recommend installing noise insulation, would you like me to search for nearest assets?
","user: Hey Nate, what is the weather going to be like in Italy next week?
voice_assistant: Generally, it is going to be sunny with high temperatures , what specific area do you have in mind?
user: I will be visiting southern part of Italy around the are of Catanzaro.
voice_assistant: Weather forecast shows sunny and high temperatures around 35 °C.
user: What clothing should I be packing then?
voice_assistant: I recommend light clothing with a head cover.","user: Hey Nate, search for funny drunk stories.
voice_assistant: Is it a formal or casual event?
","user: Hey Nate, I can't fall asleep, what should I do?
voice_assistant: I recommend that you calm your thoughts and instead think about calm places or alternatively take a medication, in which case I can search for the nearest pharmacy.
","user: Hey Nate, wake me up at 6:00 AM and set another snooze alarm for 6:05 AM so I don't oversleep.
voice_assistant: Is this single event, or should set it as regular alarm.
user: It is single event and please repeat both if I won't turn off either of them.","-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66
-66: -66"
9,"user: Sian could you tell me where my local cinema is and what times film is showing?
voice_assistant: Your local cinema is..., 4 miles from home 
voice_assistant: Film... is hoping at ...
user: Great, thanks Sian.","user: Sian can you play some music while I cook a dinner?
voice_assistant: yes what genre would you prefer?
user: I'm not sure, surprise me.
user: I notice you like to listen to hip hop so I will play a collection from that genre.
user: Brilliant. Thanks Sian.
","user: Sian can you set a timer for the lights to turn off?
voice_assistant: Yes certainly, what time would you like me to turn the lights off?
user: In 45 minutes from now.
voice_assistant: OK, that is a timer set for the lights to turn out.
user: Thank you Sian!
voice_assistant: No problem, relax and have a good night's sleep.
user: Goodnight Sian
voice_assistant: Goodnight","user: Sian can you lock in the volume of music to low after 10pm
voice_assistant: Certainly, what volume would you like?
user: lock at volume 4 
voice_assistant: volume 4 locked in for anytime from 10pm. 
user: Thank you Sian","user: Sian, can you tell me about the average weather in Italy for this time of year?
voice_assistant: Yes, where in Italy would you like to know about? 
user: Italy in general
voice_assistant: OK, the average weather in Italy for this time of year is...
user: Great Thank you.
voice_assistant: Would you like to know of local shops that would sell weather related garments incase you need them?
user: yes please Sian
voice_assistant: Can you tell me where you are staying?
user: Yes I am staying at...
voice_assistant: You have a shop that is a 6 minute walk from your hotel and other shops that would be a 10 minute or 20 minute walk 
user: Can you give me directions so I can write them down? 
voice_assistant: When you come out of your hotel take a right, at the end of that road take a left, you will come to a cross road, go straight down there, the shop is on your left and is called...
user: Brilliant Sian, thank you.
voice_assistant: Enjoy your trip.","user: Sian can you tell us a funny story?
voice_assistant: In what context?
user: Some of a comedians jokes from their show?
voice_assistant: Who is your favourite comedian?
user: Sarah Milligan
voice_assistant: OK, Sarah milligan jokes will play for you now. 
","voice_assistant: I notice your lights are still on, can you not sleep? 
user: Hi Sian, I am having trouble falling asleep
voice_assistant: I can play some calming soothing voice or music that will help you get over. 
user: Yes please. 
voice_assistant: I will play, name and author of song...
user: Thank you Sian
","user: Sian can you set multiple alarms from 6am to make sure I am awake for an important meeting?
voice_assistant: Yes, I will set multiple alarms, is every 15 minutes OK?
user: perfect.
voice_assistant: Would you like me to remind you why you have to get up with each alarm.
user: Yes please, thank you.
voice_assistant: OK, alarms set from 6am for every 15 minutes with reminders for each alarm.","user: Can you tell my son about the lifecyxle of a butterfly.
voice_assistant: Hello Oliver a butterfly starts off as a caterpillar...
user: He has got that wrote down, can you tell him a short story of a butterfly?
voice_assistant: Well this little caterpillar....
voice_assistant: Did that help with your project Oliver?
user: yes thank you Sian 
"
10,"user: hi assistant I am thinking of going to the cinema today, but I am unsure of the film times
user: I will look them up for you. 
user: thanks assistant I would like to go in the afternoon, can you get the times for the afternoon showings
voice_assistant: no problem. There are films showing at 1.00, 2.30 and 3.30 this afternoon, 
user: thanks, I will go for the 2.30 film","user: hi assistant I am just cooking dinner and have set the timer, I am listening to music while it prepares
voice_assistant: would you like me to let you know when your dinner is ready as you might not hear the timer as you are listening to music
user: thanks that would be a great help
","user: hi assistant, I am going to bed now
voice_assistant: ok, would you like me to turn the lights off for you
user: not at the moment, I am going to do some reading for around an hour.
voice_assistant: ok, would you like me to turn the lights off in an hour as you may fall asleep 
user: yes, thanks 
","voice_assistant: Hi Bev, your music seems to be a little too loud and you dont want to upset the neighbours
user: oh am I, thanks assistant I didnt realise, youre right I dont want to upset anyone
voice_assistant: Would you like me to turn the music down for you
user: thanks assistant that would be great
","user: hi assistant I am planning a trip soon and not sure what the weather will be like
voice_assistant: where is you are travelling too?
user: I am going to Italy, not sure what clothes I will need depending on the weather
voice_assistant: thats not a problem I will research that for you, when are going?
user: In two days
voice_assistant: the weather in Italy is going to be warm
user: oh great, thanks assistant I will pack my summer clothes
","user: hi assistant I am having some friend around to the house tonight
voice_assistant: great, would you like me to play some music when they arrive
user: yes, thanks,
voice_assistant: what time are they arriving
user: at around 7.00pm
ok, i will play the music at 7.00pm
user: thanks, I am worried of not being able to entertain my friends all night, can you think of something we can do?
voice_assistant: yes, I can look up some funny stories or some quizzes for you to play
user: thanks, that a good idea that sound keep them entertained","user: hi assistant unfortunately I seem to have trouble falling asleep tonight
voice_assistant: oh sorry to hear that I will try and help
user: Thanks, how could you help
voice_assistant: I can play one of your favourite relaxing songs
user: Yes, you could try that and hopefully it will work
voice_assistant: ok, playing it now
","user: Hi assistant I need to make sure that I do not oversleep tomorrow morning
voice_assistant: ok, dont worry I can alert you in the morning 
user: that would be great, thanks 
voice_assistant: what time would you like to be woken
user: 7.00am would be fine, thanks","user: hi assistant I am going out on a date tonight but I am feeling tired so going to have a nap
voice_assistant: ok, would you like me to make that you are not late for your date
user: yes, thanks
what time do you need to leave the house
user: at around 7.30, but i need to get ready which will take me around an hour
voice_assistant: ok no problem I will let you know when it is 6.30
user: thanks assitant"
11,"user: Hi Assistant, can you let me know the showing times at the local cinema, please?
voice_assistant: Sure, which film would you like to go and see?
user: The Terminator
voice_assistant: Ooh, great! There are showings at 6pm, 8pm and 10pm.
user: Thanks assistant. Bye!
voice_assistant: Have a great time at the movies tonight and don't forget,  I'll be back","user: Assistant, please play some rock music.
voice_assistant: Radio or Playlist?
user: Radio.
voice_assistant: Which station?
user: Planet Rock.
voice_assistant: Thank you. Now playing Planet Rock.
","user: Hi Assistant, I'm going to bed to read a book. Hopefully I don't fall asleep before turning the lights off. But just in case please can you turn all lights off after 60 minutes.
voice_assistant: Hey, I'll turn all lights off after 60 minutes have gone by. Enjoy your book and goodnight!","user: Hey assistant, please limit the music volume to 50% for 24 hours.
voice_assistant: Hi, volume limited to 50% for 24 hours. Have fun!","user: Hi Assistant, what's the water like in Italy for the next two days?
voice_assistant: Hey! Where about in Italy are you heading?
user: Turin
voice_assistant: Wonderful! The weather in Turin is magnificent at the moment. Clear sunny skies and warm temperatures.
user: How warm?
voice_assistant: Around 28 degrees.
user: Thanks, Assistant.
voice_assistant: No worries. Enjoy your trip!","user: Hey Assistant, tell us a joke!
voice_assistant: Knock Knock...
user: Who's there?
voice_assistant: Interrupting Cow.
user: Interrupting cow wh...
user: MOO!
","user: Assistant, I'm having trouble falling asleep.
voice_assistant: I'm sorry to hear that. There are numerous techniques for helping aid sleep. Would you like to hear them?
user: Yes, please.
voice_assistant: Ok. You can count sheep. Make sure you are in a dark quiet room. Or even, play calming sounds. Would you like me to play calming sounds?
user: Yes please. Play calming sounds for 15 minutes.
voice_assistant: Sure. I will switch off the sounds after 15 minutes have passed. Goodnight!","user: Assistant, please set an alarm for 6.30am that recurs every 5 minutes. I have an important meeting and I want to make sure I don't miss it.
voice_assistant: Hey, I will set an alarm for 6.30am. This will recur every 5 minutes until you say  Assistant, I am up and ready for the day!","user: Hey assistant. I need your help!
voice_assistant: Sure, what is it?
user: I've got a date tonight. She's coming round for dinner and I really want to impress!
voice_assistant: Ok, well make sure to set a great mood with the environment and make a lovely dinner.
user: Assistant, can you give me some ideas and recipes for dinner?
voice_assistant: Sure, try a Souffle Suissesse. Made famous by the Roux brothers. It will be sure to impress!
user: Thanks Assistant. 
"
